student_id,roll_number,first_name,last_name,full_name,gender,age,date_of_birth,email,phone,city,location_type,branch,year,semester,admission_date,status,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status,status_attendance_total_days,status_attendance_present_days,status_attendance_absent_days,attendance_percentage,attendance_first_half,attendance_second_half,attendance_trend,marks_percentage_mean,marks_percentage_std,marks_percentage_min,marks_percentage_max,marks_obtained_marks_sum,marks_subject_chemistry,marks_subject_computer_science,marks_subject_electronics,marks_subject_mathematics,marks_subject_mechanical_engineering,marks_subject_physics,marks_failing_count,assignment_submission_rate,assignment_late_count,assignment_grade_A,assignment_grade_B,assignment_grade_C,assignment_grade_D,behavior_negative_count,behavior_positive_count,behavior_total_count,library_visits,library_hours,fee_total_paid,fee_pending_count,fee_late_count,total_activities,extra_participates,extra_category_Academic,extra_category_Cultural,extra_category_Other,extra_category_Social,extra_category_Sports,extra_category_Technical,extra_leadership_roles,extra_hours_per_week,extra_total_events,attendance_status_extra_sessions_total,attendance_status_extra_sessions_present,extra_attendance_percentage,dropout_risk_score,dropout_risk
11,CS220011,Manish,Gupta,Manish Gupta,Male,21,2004-01-07,manish.gupta69@student.college.edu,918397912680,Ludhiana,Semi-Urban,CS,1,2,2025-08-01,Active,Lower-Middle,227405,Mr. Aditya Gupta,Secondary,Retired,Mrs. Mira Gupta,Higher Secondary,Professional,1,6,0,917955501400,"5, Road, Ludhiana",4.06,4.95,4.59,Declining,24,18,48,37,77.08,4.06,18,87.81,High,2025-07-27,0,On Time,1,0,1,2,2,0,Below Average,Yes,40,33,7,82.5,75.0,90.0,15.0,36.85472222222222,13.826061826670697,9.78,63.62,216.52,29.179999999999996,41.43666666666667,33.473333333333336,40.281666666666666,43.725,33.031666666666666,22.0,50.0,0,0,1,1,2,1.0,1.0,2.0,11.0,13.0,100000,0,1.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,5.0,32.0,20.0,62.5,30,Low Risk
12,EE220012,Neha,Jain,Neha Jain,Female,23,2002-01-07,neha.jain107@student.college.edu,919758491030,Patna,Rural,EE,1,2,2025-08-01,Active,Low,70368,Mr. Dhruv Jain,Secondary,Self-Employed,Mrs. Sneha Jain,Secondary,Homemaker,1,5,1,918036190235,"295, Road, Patna",6.11,5.47,5.73,Improving,22,13,44,27,61.36,6.11,13,62.66,Medium,2025-07-28,1,On Time,2,0,2,2,0,0,Average,No,40,30,10,75.0,75.0,75.0,0.0,81.25333333333333,17.29407198187534,43.44,100.0,492.98,74.99166666666666,82.995,81.53833333333334,85.09166666666667,75.80666666666667,87.09666666666668,0.0,62.5,1,0,4,0,1,1.0,1.0,2.0,13.0,10.0,15000,3,0.0,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,40.0,34.0,85.0,30,Low Risk
13,EC220013,Rudra,Choudhury,Rudra Choudhury,Male,21,2004-01-07,rudra.choudhury867@student.college.edu,919362451171,Delhi,Semi-Urban,EC,1,1,2025-08-01,Active,Middle,525821,Mr. Vivaan Choudhury,Primary,Self-Employed,Mrs. Ishita Choudhury,No Formal Education,Small Business,3,5,0,917726837161,"316, Street, Delhi",8.35,6.505,8.35,Stable,22,21,22,21,95.45,8.35,21,91.89,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No,40,26,14,65.0,65.0,65.0,0.0,75.99777777777778,14.658963539878668,47.27,100.0,455.78,76.155,72.57666666666667,91.00666666666666,73.37166666666667,66.03833333333334,76.83833333333332,0.0,75.0,1,2,1,0,3,1.0,1.0,2.0,13.0,10.0,100000,0,2.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Low Risk
14,CE210014,Vivaan,Ghosh,Vivaan Ghosh,Male,17,2008-01-06,vivaan.ghosh8@student.college.edu,919253098867,Ahmedabad,Rural,CE,3,2,2025-08-01,Active,Low,80143,Mr. Aditya Ghosh,Secondary,Government Employee,Mrs. Tanvi Ghosh,Post-Graduate,Homemaker,2,3,0,919276718853,"389, Road, Ahmedabad",7.22,6.02,6.5,Improving,24,21,144,130,90.28,6.61,40,78.13,Low,2025-07-27,0,On Time,2,0,2,6,1,0,Average,No,40,29,11,72.5,75.0,70.0,-5.0,81.01305555555555,14.10482689810112,36.3,100.0,479.95,87.86500000000001,78.87333333333333,84.31333333333333,77.42666666666666,83.625,73.97500000000001,1.0,87.5,1,3,3,0,1,1.0,2.0,3.0,13.0,10.0,30000,2,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Medium Risk
15,CE240015,Sakshi,Das,Sakshi Das,Female,23,2002-01-07,sakshi.das489@student.college.edu,918678283016,Jaipur,Rural,CE,2,1,2025-08-01,Active,Lower-Middle,245157,Mr. Atharv Das,Primary,Small Business,Mrs. Aditi Das,Higher Secondary,Government Employee,1,5,0,919642268823,"300, Lane, Jaipur",7.47,7.37,7.41,Stable,24,20,72,60,83.33,7.82,36,71.52,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No,40,34,6,85.0,85.0,85.0,0.0,63.819722222222225,17.2605931839984,29.32,97.63,376.03000000000003,75.73333333333333,55.12166666666667,57.098333333333336,70.28833333333334,59.446666666666665,65.23,4.0,100.0,1,2,4,0,2,1.0,1.0,2.0,13.0,10.0,85000,1,1.0,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,12.0,32.0,29.0,90.625,5,Low Risk
16,CS220016,Dhruv,Rodrigues,Dhruv Rodrigues,Male,21,2004-01-07,dhruv.rodrigues221@student.college.edu,917585948376,Kanpur,Semi-Urban,CS,1,2,2025-08-01,Active,Low,146816,Mr. Kian Rodrigues,Primary,Government Employee,Mrs. Tanvi Rodrigues,No Formal Education,Salaried Employee,0,5,1,918237820593,"308, Road, Kanpur",6.59,7.59,7.19,Declining,18,16,36,32,88.89,6.59,16,83.83,Medium,2025-07-27,0,On Time,0,0,0,2,1,1,Good,No,40,25,15,62.5,70.0,55.00000000000001,-14.999999999999993,61.229444444444454,15.86574800261682,25.34,96.43,350.42,59.403333333333336,58.03,61.208333333333336,68.41166666666668,55.843333333333334,64.48,1.0,87.5,1,2,3,2,0,1.0,1.0,2.0,17.0,10.0,50000,2,1.0,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,15.0,93.75,30,Low Risk
17,EC230017,Kavya,Mohammad,Kavya Mohammad,Female,22,2003-01-07,kavya.mohammad670@student.college.edu,917848774149,Bangalore,Urban,EC,3,2,2025-08-01,Active,Upper-Middle,857712,Mr. Aryan Mohammad,Secondary,Daily Wage Worker,Mrs. Aditi Mohammad,Secondary,Small Business,0,6,0,919393007141,"281, Street, Bangalore",5.91,7.3,6.74,Declining,22,19,132,118,89.39,7.03,40,80.8,Low,2025-07-28,1,On Time,0,0,0,6,2,2,Average,No,40,35,5,87.5,85.0,90.0,5.0,57.88611111111111,15.064270742915934,19.12,96.15,347.7,52.45166666666666,58.675000000000004,62.531666666666666,62.77166666666667,54.553333333333335,56.333333333333336,4.0,100.0,3,2,2,4,0,1.0,1.0,2.0,13.0,10.0,100000,0,0.0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0,5.0,31.25,10,Low Risk
18,ME240018,Tara,Iyer,Tara Iyer,Female,19,2006-01-06,tara.iyer75@student.college.edu,919380645640,Ahmedabad,Rural,ME,2,1,2025-08-01,Active,Lower-Middle,252896,Mr. Kiaan Iyer,Secondary,Professional,Mrs. Sara Iyer,Higher Secondary,Homemaker,1,6,1,919263607553,"449, Road, Ahmedabad",6.9,7.14,7.04,Stable,22,19,66,59,89.39,6.26,38,88.99,Low,2025-07-29,2,On Time,0,0,0,3,0,0,Good,No,40,27,13,67.5,65.0,70.0,5.0,54.30305555555556,14.983926210527724,18.31,89.38,333.62,56.32666666666666,57.254999999999995,49.11666666666667,43.35333333333333,56.98333333333334,62.78333333333333,3.0,62.5,0,2,1,2,0,1.0,0.0,1.0,13.0,10.0,100000,0,1.0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,40.0,27.0,67.5,15,Low Risk
19,CE230019,Tara,Malhotra,Tara Malhotra,Female,23,2002-01-07,tara.malhotra562@student.college.edu,917725449071,Kanpur,Urban,CE,3,1,2025-08-01,Active,High,2989620,Mr. Atharv Malhotra,Primary,Small Business,Mrs. Anika Malhotra,Secondary,Homemaker,1,3,0,919349541957,"464, Road, Kanpur",6.99,6.07,6.44,Improving,18,15,90,76,84.44,6.02,40,93.04,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Average,No,40,31,9,77.5,75.0,80.0,5.0,37.79277777777778,13.210219336583135,6.58,61.77,230.44,43.23333333333333,41.55833333333334,31.316666666666666,41.18333333333333,39.055,30.41,18.0,87.5,1,2,4,0,1,1.0,1.0,2.0,13.0,10.0,100000,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
20,ME230020,Navya,Mukherjee,Navya Mukherjee,Female,23,2002-01-07,navya.mukherjee839@student.college.edu,917699801146,Kanpur,Semi-Urban,ME,1,1,2025-08-01,Active,Middle,560329,Mr. Prakash Mukherjee,Secondary,Small Business,Mrs. Riya Mukherjee,Secondary,Salaried Employee,0,5,0,919307242151,"227, Lane, Kanpur",6.1,6.505,6.1,Improving,22,18,22,18,81.82,6.1,18,60.17,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No,40,35,5,87.5,80.0,95.0,15.0,58.104166666666664,14.980566911836148,27.17,96.81,342.94,57.94166666666666,52.451666666666675,59.11000000000001,47.95166666666666,64.96833333333333,66.20166666666667,3.0,87.5,2,3,3,0,1,1.0,1.0,2.0,18.0,9.0,100000,0,2.0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.333333333333334,27.0,56.0,45.0,80.35714285714286,20,Low Risk
21,ME210021,Ritvik,Chatterjee,Ritvik Chatterjee,Male,19,2006-01-06,ritvik.chatterjee405@student.college.edu,919534654866,Indore,Rural,ME,4,1,2025-08-01,Active,Middle,415741,Mr. Rahul Chatterjee,Secondary,Daily Wage Worker,Mrs. Anjali Chatterjee,Graduate,Farmer,1,5,0,918932098635,"484, Lane, Indore",8.38,8.3,8.33,Stable,22,21,154,153,99.35,8.31,36,70.21,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No,40,28,12,70.0,75.0,65.0,-10.0,47.63388888888889,14.602169756145882,24.13,73.34,277.06,58.605,46.004999999999995,50.76666666666667,34.458333333333336,55.448333333333345,40.52,14.0,87.5,1,2,3,1,1,1.0,1.0,2.0,9.0,1.0,85000,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Low Risk
22,CE240022,Ayaan,Mehta,Ayaan Mehta,Male,18,2007-01-06,ayaan.mehta117@student.college.edu,917795547988,Lucknow,Urban,CE,3,1,2025-08-01,Active,Upper-Middle,828724,Mr. Kian Mehta,No Formal Education,Daily Wage Worker,Mrs. Swati Mehta,No Formal Education,Homemaker,2,5,0,919216896351,"322, Road, Lucknow",4.91,6.12,5.64,Declining,18,11,90,58,64.44,5.72,42,90.35,Low,2025-07-27,0,On Time,0,0,0,5,1,1,Average,No,40,33,7,82.5,90.0,75.0,-15.0,42.18805555555556,13.441895023596816,21.67,79.75,245.53,35.47833333333333,42.94833333333333,37.45666666666667,52.464999999999996,44.468333333333334,40.31166666666667,17.0,75.0,2,2,2,0,2,1.0,1.0,2.0,12.0,11.0,100000,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,35,Medium Risk
23,ME240023,Navya,Mohammad,Navya Mohammad,Female,21,2004-01-07,navya.mohammad528@student.college.edu,917354080115,Kolkata,Semi-Urban,ME,4,1,2025-08-01,Active,Lower-Middle,273604,Mr. Abhinav Mohammad,No Formal Education,Small Business,Mrs. Aadhya Mohammad,Secondary,Small Business,1,5,0,919469039316,"263, Lane, Kolkata",5.27,6.04,5.73,Declining,20,14,140,99,70.71,5.6,38,73.96,Low,2025-08-03,7,Late,0,0,0,7,2,1,Average,No,40,31,9,77.5,80.0,75.0,-5.0,67.36638888888889,15.860812833211252,35.82,100.0,410.31,76.65166666666666,71.78166666666667,52.33166666666667,74.45,64.76,64.22333333333334,2.0,87.5,2,3,3,1,0,1.0,1.0,2.0,12.0,0.0,65000,1,1.0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,56.0,30.0,53.57142857142857,25,Low Risk
24,ME220024,Kavya,Khan,Kavya Khan,Female,20,2005-01-06,kavya.khan127@student.college.edu,917592953132,Nagpur,Urban,ME,4,1,2025-08-01,Active,Middle,431139,Mr. Shivansh Khan,Secondary,Government Employee,Mrs. Zara Khan,Primary,Homemaker,2,4,0,918034222242,"425, Lane, Nagpur",6.1,5.8,5.92,Stable,20,14,140,101,72.14,5.98,38,70.09,Low,2025-07-27,0,On Time,1,0,1,7,0,0,Average,No,40,30,10,75.0,75.0,75.0,0.0,82.0461111111111,16.810586847541348,36.41,100.0,491.02,92.03500000000001,91.15666666666668,71.765,74.44833333333334,83.03333333333333,79.83833333333332,1.0,75.0,1,3,2,1,0,1.0,1.0,2.0,13.0,10.0,100000,0,0.0,2,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.333333333333334,37.0,96.0,89.0,92.70833333333334,20,Low Risk
25,EC240025,Prakash,Jain,Prakash Jain,Male,22,2003-01-07,prakash.jain367@student.college.edu,917384844920,Pune,Urban,EC,4,1,2025-08-01,Active,Upper-Middle,685889,Mr. Raj Jain,Secondary,Salaried Employee,Mrs. Kriti Jain,No Formal Education,Homemaker,2,6,0,919298732252,"140, Street, Pune",7.9,7.86,7.88,Stable,18,14,126,101,80.16,7.14,38,72.19,Low,2025-08-06,10,Very Late,0,0,0,7,0,0,Good,No,40,34,6,85.0,80.0,90.0,10.0,52.69277777777778,16.09477335057407,26.41,89.71,312.26,60.53333333333333,52.501666666666665,56.178333333333335,47.906666666666666,45.63833333333333,53.39833333333333,7.0,75.0,2,2,2,1,1,1.0,1.0,2.0,13.0,10.0,100000,0,1.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,40.0,28.0,70.0,0,Low Risk
26,ME240026,Swati,Agarwal,Swati Agarwal,Female,23,2002-01-07,swati.agarwal748@student.college.edu,918939662450,Kolkata,Rural,ME,1,1,2025-08-01,Active,Low,127606,Mr. Yash Agarwal,No Formal Education,Daily Wage Worker,Mrs. Prisha Agarwal,Secondary,Homemaker,0,6,0,918046808222,"250, Lane, Kolkata",5.03,6.505,5.03,Stable,22,18,22,18,81.82,5.03,18,78.72,Medium,2025-07-28,1,On Time,0,0,0,1,2,1,Below Average,No,40,35,5,87.5,90.0,85.0,-5.0,38.45305555555555,13.620551660622361,13.78,72.44,225.11,38.875,32.416666666666664,37.666666666666664,39.675000000000004,45.00333333333333,37.08166666666667,22.0,75.0,1,1,3,2,0,1.0,1.0,2.0,13.0,10.0,65000,1,2.0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,24.0,17.0,70.83333333333334,25,Low Risk
27,CS240027,Aarohi,Das,Aarohi Das,Female,23,2002-01-07,aarohi.das460@student.college.edu,919234863801,Vadodara,Semi-Urban,CS,2,1,2025-08-01,Active,Upper-Middle,799104,Mr. Aadhya Das,Secondary,Small Business,Mrs. Shruti Das,Secondary,Salaried Employee,2,6,0,919793859359,"352, Street, Vadodara",8.04,7.92,7.97,Stable,24,22,72,66,91.67,8.38,40,88.08,Low,2025-07-28,1,On Time,0,0,0,3,0,0,Good,No,40,32,8,80.0,70.0,90.0,20.0,45.57277777777777,15.95196389362426,14.13,84.03,272.58,47.79333333333333,51.333333333333336,40.36666666666667,46.528333333333336,43.093333333333334,44.321666666666665,14.0,75.0,2,2,2,1,1,1.0,2.0,3.0,16.0,5.0,100000,0,1.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.5,5.0,40.0,25.0,62.5,10,Low Risk
