student_id,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address
65,Middle,479946,Mr. Vivaan Tiwari,Graduate,Salaried Employee,Mrs. Myra Tiwari,Secondary,Daily Wage Worker,2,7,0,+917478693170,"497, Street, Bhopal"
66,Lower-Middle,203477,Mr. Aarav Agarwal,Higher Secondary,Professional,Mrs. Sakshi Agarwal,Primary,Small Business,4,3,0,+917760476790,"466, Street, Indore"
67,Low,100292,Mr. Aadhya Ghosh,Secondary,Self-Employed,Mrs. Kiara Ghosh,Secondary,Salaried Employee,1,5,0,+917763908392,"120, Street, Jaipur"
68,Lower-Middle,230977,Mr. Kunal Arora,Higher Secondary,Salaried Employee,Mrs. Ishita Arora,Post-Graduate,Small Business,0,6,0,+919609411910,"230, Lane, Mumbai"
69,Low,53181,Mr. Abhinav Ahmed,Higher Secondary,Farmer,Mrs. Ira Ahmed,Secondary,Homemaker,3,3,0,+917218433268,"342, Lane, Indore"
70,Middle,351638,Mr. Samar Mohammad,Graduate,Self-Employed,Mrs. Sakshi Mohammad,Primary,Homemaker,3,5,0,+919020101298,"483, Street, Coimbatore"
71,Lower-Middle,272388,Mr. Ansh Sinha,Secondary,Small Business,Mrs. Aditi Sinha,Secondary,Homemaker,3,3,0,+917652231771,"322, Street, Ludhiana"
72,High,1184456,Mr. Rohan Sharma,No Formal Education,Professional,Mrs. Ira Sharma,Secondary,Homemaker,1,5,0,+919171144883,"361, Street, Lucknow"
73,Middle,314971,Mr. Dhruv Shah,Primary,Self-Employed,Mrs. Meera Shah,No Formal Education,Homemaker,2,7,0,+917543813121,"1, Road, Kolkata"
74,Upper-Middle,878627,Mr. Kabir Joshi,Primary,Government Employee,Mrs. Zara Joshi,Secondary,Daily Wage Worker,1,6,0,+917417246888,"85, Lane, Kanpur"
75,Lower-Middle,244995,Mr. Daksh D'Souza,Primary,Daily Wage Worker,Mrs. Ananya D'Souza,No Formal Education,Salaried Employee,2,3,0,+918090253855,"340, Road, Visakhapatnam"
76,Low,95603,Mr. Aditya Nair,Primary,Daily Wage Worker,Mrs. Kriti Nair,Primary,Homemaker,3,5,0,+917843815393,"385, Road, Pune"
77,Middle,335377,Mr. Siddharth Choudhury,Secondary,Farmer,Mrs. Priya Choudhury,Secondary,Small Business,3,5,0,+918318138762,"125, Road, Patna"
78,Upper-Middle,929788,Mr. Aditya Das,Primary,Professional,Mrs. Ishita Das,Graduate,Homemaker,2,4,0,+918655355794,"218, Road, Jaipur"
79,Low,53505,Mr. Rudra Sethi,Secondary,Daily Wage Worker,Mrs. Aarohi Sethi,Post-Graduate,Self-Employed,2,7,0,+917368446426,"445, Road, Visakhapatnam"
80,Upper-Middle,988844,Mr. Abhinav Ahmed,Primary,Professional,Mrs. Shruti Ahmed,No Formal Education,Daily Wage Worker,1,4,0,+919225835255,"489, Lane, Lucknow"
81,Lower-Middle,204325,Mr. Siddharth Rodrigues,Secondary,Professional,Mrs. Shruti Rodrigues,Primary,Homemaker,0,6,1,+919831066527,"353, Street, Vadodara"
82,Low,123951,Mr. Arjun Ghosh,Graduate,Small Business,Mrs. Pooja Ghosh,Post-Graduate,Daily Wage Worker,3,6,0,+917115898429,"303, Street, Bangalore"
83,Lower-Middle,169386,Mr. Kian Bose,Graduate,Self-Employed,Mrs. Ira Bose,Secondary,Salaried Employee,2,3,0,+919056451749,"227, Lane, Bangalore"
84,Lower-Middle,175173,Mr. Sai Khan,Higher Secondary,Retired,Mrs. Aarohi Khan,Higher Secondary,Homemaker,0,6,0,+917391016759,"243, Road, Jaipur"
85,Low,123331,Mr. Shivansh Ahmed,Primary,Farmer,Mrs. Sakshi Ahmed,Secondary,Homemaker,3,4,0,+919337986233,"65, Lane, Mumbai"
86,Lower-Middle,219207,Mr. Amit Fernandes,Higher Secondary,Small Business,Mrs. Sakshi Fernandes,Secondary,Homemaker,1,3,0,+917558961356,"416, Lane, Ludhiana"
87,Lower-Middle,223578,Mr. Reyansh Arora,Higher Secondary,Farmer,Mrs. Kavya Arora,No Formal Education,Professional,1,5,0,+917433753094,"292, Street, Ludhiana"
88,Low,107914,Mr. Aarav Gupta,Primary,Daily Wage Worker,Mrs. Swati Gupta,Secondary,Homemaker,3,4,0,+918337773559,"172, Street, Visakhapatnam"
89,Low,122443,Mr. Aditya Jain,Higher Secondary,Self-Employed,Mrs. Anjali Jain,No Formal Education,Homemaker,0,7,0,+918841692163,"472, Street, Lucknow"
90,Low,142591,Mr. Vivaan D'Souza,Graduate,Professional,Mrs. Anjali D'Souza,No Formal Education,Self-Employed,1,4,0,+918949743298,"158, Lane, Bangalore"
91,Middle,311852,Mr. Ishaan Khanna,Higher Secondary,Small Business,Mrs. Riya Khanna,Primary,Homemaker,4,6,0,+917514021100,"129, Lane, Delhi"
92,Middle,490985,Mr. Daksh Arora,Primary,Salaried Employee,Mrs. Shanaya Arora,No Formal Education,Small Business,1,4,0,+918800389494,"81, Lane, Hyderabad"
93,Upper-Middle,779974,Mr. Kiaan Malhotra,Primary,Professional,Mrs. Meera Malhotra,Higher Secondary,Government Employee,2,7,0,+919393992397,"456, Lane, Coimbatore"
94,Middle,456958,Mr. Ishaan Joshi,No Formal Education,Professional,Mrs. Sakshi Joshi,Secondary,Self-Employed,1,6,0,+918917978391,"164, Street, Bhopal"
95,Lower-Middle,285690,Mr. Raj Reddy,Post-Graduate,Retired,Mrs. Prisha Reddy,Secondary,Salaried Employee,2,6,0,+919203212882,"55, Lane, Vadodara"
96,Middle,429522,Mr. Vihaan Mishra,Higher Secondary,Daily Wage Worker,Mrs. Shruti Mishra,Primary,Government Employee,1,7,0,+919577334043,"442, Street, Chennai"
97,Lower-Middle,227269,Mr. Manish Mukherjee,Secondary,Government Employee,Mrs. Kiara Mukherjee,Graduate,Homemaker,3,7,0,+917677960559,"285, Street, Kanpur"
98,Low,111570,Mr. Harshit Das,Secondary,Retired,Mrs. Aanya Das,Primary,Small Business,2,5,0,+919652341084,"303, Road, Jaipur"
99,Low,119165,Mr. Arnav Fernandes,Graduate,Government Employee,Mrs. Ananya Fernandes,Higher Secondary,Small Business,0,3,0,+918072053418,"195, Lane, Lucknow"
100,Middle,334576,Mr. Ankit Iyer,No Formal Education,Self-Employed,Mrs. Saanvi Iyer,Higher Secondary,Salaried Employee,2,7,0,+918263631205,"454, Lane, Kanpur"
101,Lower-Middle,237593,Mr. Krishna Nair,Secondary,Small Business,Mrs. Sakshi Nair,Primary,Self-Employed,1,4,0,+918981229333,"54, Street, Jaipur"
102,Lower-Middle,265333,Mr. Prakash Rao,Secondary,Retired,Mrs. Diya Rao,Secondary,Farmer,0,5,0,+919768717843,"492, Street, Bhopal"
103,Low,109798,Mr. Samar Singh,Secondary,Government Employee,Mrs. Aarohi Singh,Primary,Homemaker,3,7,0,+918462512898,"136, Road, Kolkata"
104,Lower-Middle,187887,Mr. Abhinav Kapoor,Primary,Daily Wage Worker,Mrs. Pari Kapoor,Primary,Professional,2,7,0,+918197735379,"473, Road, Patna"
105,Lower-Middle,162534,Mr. Aditya Desai,Primary,Daily Wage Worker,Mrs. Mira Desai,Graduate,Small Business,2,4,0,+919439634652,"415, Lane, Delhi"
106,Low,64320,Mr. Samar Saxena,Graduate,Farmer,Mrs. Anvi Saxena,Primary,Self-Employed,1,3,0,+917624304096,"196, Street, Lucknow"
107,Middle,319765,Mr. Aadhya Arora,Secondary,Farmer,Mrs. Anjali Arora,No Formal Education,Self-Employed,1,6,1,+919917641594,"193, Lane, Bhopal"
108,Low,105653,Mr. Rahul Bose,Higher Secondary,Farmer,Mrs. Sneha Bose,Secondary,Homemaker,2,3,1,+919058194378,"325, Lane, Bangalore"
109,Low,122601,Mr. Prakash Saxena,Secondary,Salaried Employee,Mrs. Kavya Saxena,Primary,Homemaker,1,3,0,+917877884828,"178, Street, Lucknow"
110,Lower-Middle,190152,Mr. Sai Pillai,No Formal Education,Government Employee,Mrs. Tara Pillai,Graduate,Homemaker,2,5,0,+917710290451,"381, Street, Kanpur"
111,Middle,378450,Mr. Ritvik Joshi,Higher Secondary,Professional,Mrs. Anika Joshi,Secondary,Daily Wage Worker,1,7,0,+918125566119,"409, Lane, Hyderabad"
112,Middle,492676,Mr. Abhinav Iyer,Secondary,Salaried Employee,Mrs. Aanya Iyer,Secondary,Self-Employed,0,6,0,+917925875411,"421, Road, Hyderabad"
113,Lower-Middle,240272,Mr. Aarav Pillai,Higher Secondary,Government Employee,Mrs. Shanaya Pillai,No Formal Education,Homemaker,0,5,1,+919085679021,"416, Street, Kolkata"
114,Low,99757,Mr. Ankit Ahmed,Graduate,Professional,Mrs. Swati Ahmed,No Formal Education,Farmer,0,4,0,+918282572019,"47, Lane, Patna"
115,Low,71716,Mr. Rahul Ghosh,No Formal Education,Salaried Employee,Mrs. Ira Ghosh,Primary,Small Business,0,4,0,+918028098768,"106, Road, Patna"
116,Lower-Middle,204908,Mr. Arnav Das,Primary,Professional,Mrs. Navya Das,Higher Secondary,Homemaker,2,4,0,+917503721269,"482, Lane, Hyderabad"
117,Middle,544990,Mr. Daksh D'Souza,No Formal Education,Farmer,Mrs. Anjali D'Souza,Primary,Government Employee,2,5,0,+918777005096,"426, Lane, Kolkata"
118,Lower-Middle,231651,Mr. Ankit Pandey,Graduate,Government Employee,Mrs. Simran Pandey,No Formal Education,Homemaker,0,4,0,+918990258657,"319, Street, Lucknow"
119,Low,136782,Mr. Samar Shah,No Formal Education,Daily Wage Worker,Mrs. Sneha Shah,Higher Secondary,Government Employee,1,4,0,+917905381370,"415, Street, Coimbatore"
120,Lower-Middle,179240,Mr. Ansh Chatterjee,Primary,Retired,Mrs. Riya Chatterjee,Post-Graduate,Homemaker,1,7,0,+918481004471,"224, Road, Chennai"
121,Middle,398304,Mr. Nikhil Das,Primary,Retired,Mrs. Kavya Das,Graduate,Small Business,2,7,0,+917114505781,"353, Lane, Indore"
122,Middle,539879,Mr. Aadhya Pandey,Secondary,Self-Employed,Mrs. Siya Pandey,Primary,Homemaker,1,5,0,+918752555343,"270, Street, Coimbatore"
123,Lower-Middle,198147,Mr. Harshit Rodrigues,No Formal Education,Salaried Employee,Mrs. Avni Rodrigues,Graduate,Self-Employed,0,7,0,+918382564029,"357, Lane, Patna"
124,Low,60397,Mr. Varun Joshi,Primary,Small Business,Mrs. Nisha Joshi,Secondary,Farmer,2,7,0,+918540893597,"98, Street, Ahmedabad"
125,Low,146905,Mr. Kunal Das,Primary,Salaried Employee,Mrs. Meera Das,Secondary,Small Business,2,3,0,+919987717531,"470, Road, Hyderabad"
126,Low,67398,Mr. Advait Joshi,Secondary,Self-Employed,Mrs. Aditi Joshi,Secondary,Government Employee,0,5,0,+917300361166,"144, Road, Ghaziabad"
127,Middle,344761,Mr. Arjun Sethi,No Formal Education,Daily Wage Worker,Mrs. Aadhya Sethi,Primary,Self-Employed,3,5,0,+918368394958,"339, Street, Vadodara"
128,Low,134628,Mr. Harshit Iyer,Graduate,Daily Wage Worker,Mrs. Meera Iyer,Primary,Self-Employed,1,4,0,+919691951299,"389, Street, Ahmedabad"
129,Middle,328279,Mr. Varun Sharma,Graduate,Government Employee,Mrs. Divya Sharma,No Formal Education,Homemaker,2,4,0,+917377924845,"309, Road, Bhopal"
130,Lower-Middle,239350,Mr. Shivansh Agarwal,Secondary,Government Employee,Mrs. Shruti Agarwal,Secondary,Homemaker,4,7,0,+918094184846,"258, Road, Kanpur"
131,Low,67943,Mr. Vivaan Kapoor,No Formal Education,Small Business,Mrs. Pari Kapoor,Secondary,Homemaker,1,5,0,+917136183691,"2, Road, Patna"
132,High,2187324,Mr. Rudra Das,Graduate,Self-Employed,Mrs. Simran Das,Primary,Government Employee,2,6,0,+919831359160,"124, Lane, Patna"
133,High,1340289,Mr. Prakash Iyer,Graduate,Government Employee,Mrs. Pari Iyer,No Formal Education,Government Employee,0,4,0,+918549544028,"149, Lane, Jaipur"
134,Middle,562883,Mr. Kian Kaur,Primary,Farmer,Mrs. Siya Kaur,Post-Graduate,Homemaker,1,7,0,+918014007899,"230, Street, Bangalore"
135,Middle,590976,Mr. Atharv Mukherjee,Higher Secondary,Professional,Mrs. Zara Mukherjee,Secondary,Salaried Employee,2,3,0,+918739642708,"347, Street, Mumbai"
136,Low,59783,Mr. Kunal Patel,Secondary,Professional,Mrs. Ishita Patel,No Formal Education,Farmer,0,7,0,+919135821060,"27, Lane, Nagpur"
137,Low,80994,Mr. Aditya Shah,Post-Graduate,Self-Employed,Mrs. Sara Shah,Primary,Self-Employed,2,6,0,+919131516381,"336, Street, Kanpur"
138,Lower-Middle,171551,Mr. Naksh Chatterjee,Secondary,Government Employee,Mrs. Aditi Chatterjee,Higher Secondary,Small Business,3,6,0,+917849467141,"103, Road, Lucknow"
139,Middle,599830,Mr. Vedant Agarwal,No Formal Education,Self-Employed,Mrs. Avni Agarwal,No Formal Education,Homemaker,1,6,0,+918758459438,"195, Lane, Bhopal"
140,Low,103826,Mr. Daksh Mukherjee,Graduate,Salaried Employee,Mrs. Priya Mukherjee,Primary,Salaried Employee,4,6,0,+918214159700,"197, Lane, Patna"
141,Lower-Middle,174097,Mr. Arjun Ali,Graduate,Retired,Mrs. Diya Ali,Secondary,Homemaker,2,6,0,+917264087104,"338, Street, Kolkata"
142,Middle,478902,Mr. Rohan Bhatia,No Formal Education,Self-Employed,Mrs. Ananya Bhatia,Post-Graduate,Homemaker,1,7,0,+917041023057,"216, Road, Delhi"
143,Upper-Middle,773912,Mr. Kunal Ali,Secondary,Self-Employed,Mrs. Kiara Ali,No Formal Education,Salaried Employee,2,6,0,+917116908569,"118, Lane, Bangalore"
144,Upper-Middle,988775,Mr. Rahul Choudhury,Primary,Professional,Mrs. Aadhya Choudhury,Higher Secondary,Salaried Employee,2,7,0,+919496927966,"284, Street, Lucknow"
145,Middle,570844,Mr. Ankit Chopra,Secondary,Retired,Mrs. Myra Chopra,Graduate,Homemaker,0,4,0,+917977911392,"381, Lane, Kolkata"
146,Low,123930,Mr. Karthik Joshi,Secondary,Small Business,Mrs. Ananya Joshi,Secondary,Self-Employed,2,3,0,+919922154475,"190, Street, Kanpur"
147,Lower-Middle,204792,Mr. Varun Bose,Secondary,Self-Employed,Mrs. Anika Bose,Primary,Small Business,2,5,0,+917961227553,"141, Lane, Mumbai"
148,Middle,335513,Mr. Naksh Fernandes,Primary,Government Employee,Mrs. Mira Fernandes,Higher Secondary,Small Business,0,3,0,+917526384650,"474, Lane, Bhopal"
149,Low,122650,Mr. Abhinav Bhatia,Graduate,Government Employee,Mrs. Simran Bhatia,Secondary,Salaried Employee,1,6,0,+917944507300,"330, Street, Pune"
150,Low,86133,Mr. Ishaan Ahmed,Secondary,Small Business,Mrs. Neha Ahmed,Primary,Professional,2,5,0,+918470428752,"61, Street, Bhopal"
151,Low,111143,Mr. Aarav Mohammad,Primary,Government Employee,Mrs. Kavya Mohammad,Primary,Homemaker,1,6,0,+918803748639,"451, Street, Lucknow"
152,Upper-Middle,731630,Mr. Sai Malhotra,Higher Secondary,Daily Wage Worker,Mrs. Ishita Malhotra,Post-Graduate,Farmer,0,6,0,+918433335465,"310, Street, Visakhapatnam"
153,High,2103060,Mr. Ansh Das,Secondary,Daily Wage Worker,Mrs. Simran Das,Primary,Self-Employed,1,3,1,+918662660396,"419, Lane, Bangalore"
154,Lower-Middle,179486,Mr. Kian Saxena,Primary,Professional,Mrs. Kavya Saxena,Graduate,Homemaker,2,4,0,+919764847952,"281, Lane, Chennai"
155,Low,81981,Mr. Pranav Tiwari,Higher Secondary,Self-Employed,Mrs. Sneha Tiwari,No Formal Education,Homemaker,1,5,1,+917350267131,"351, Lane, Patna"
156,Middle,541218,Mr. Ishaan Saxena,Secondary,Government Employee,Mrs. Ritika Saxena,Primary,Homemaker,2,6,0,+917914894016,"31, Lane, Mumbai"
157,Low,141074,Mr. Vivaan Saxena,Higher Secondary,Professional,Mrs. Avni Saxena,Primary,Homemaker,1,5,0,+917133064317,"143, Road, Ghaziabad"
158,Middle,390346,Mr. Arnav Singh,Graduate,Small Business,Mrs. Navya Singh,Secondary,Government Employee,0,7,0,+919130331385,"408, Street, Delhi"
159,Low,130225,Mr. Sai Malhotra,Primary,Farmer,Mrs. Anika Malhotra,Secondary,Small Business,1,7,0,+917942900658,"437, Street, Lucknow"
160,Lower-Middle,244446,Mr. Vedant Bhatia,Graduate,Daily Wage Worker,Mrs. Ritika Bhatia,Higher Secondary,Homemaker,3,6,0,+919684100234,"55, Lane, Kolkata"
